iter	Passed	Remaining
0	154	153993
1	155	77517
2	156	51864
3	156	39036
4	157	31339
5	158	26211
6	158	22535
7	159	19773
8	160	17626
9	160	15911
10	161	14499
11	161	13325
12	162	12330
13	163	11486
14	163	10745
15	164	10098
16	164	9526
17	165	9017
18	165	8563
19	166	8153
20	166	7782
21	167	7445
22	168	7137
23	168	6855
24	169	6595
25	169	6356
26	170	6135
27	170	5930
28	171	5739
29	171	5559
30	172	5391
31	173	5235
32	173	5087
33	174	4949
34	174	4817
35	175	4695
36	175	4580
37	176	4469
38	177	4364
39	177	4263
40	178	4167
41	178	4077
42	179	3990
43	179	3907
44	180	3828
45	181	3754
46	181	3683
47	182	3613
48	182	3547
49	183	3483
50	183	3421
51	184	3362
52	184	3305
53	185	3250
54	186	3197
55	186	3146
56	187	3097
57	187	3050
58	188	3005
59	188	2960
60	189	2917
61	190	2875
62	190	2834
63	191	2795
64	191	2757
65	192	2721
66	192	2685
67	193	2651
68	194	2618
69	194	2585
70	195	2553
71	195	2522
72	196	2492
73	196	2463
74	197	2435
75	198	2408
76	198	2382
77	199	2359
78	200	2335
79	201	2311
80	201	2287
81	202	2264
82	202	2238
83	203	2215
84	203	2192
85	204	2171
86	204	2149
87	205	2128
88	206	2108
89	206	2089
90	207	2070
91	207	2050
92	208	2031
93	208	2013
94	209	1995
95	210	1977
96	210	1960
97	211	1943
98	211	1926
99	212	1910
100	212	1894
101	213	1878
102	213	1862
103	214	1847
104	214	1832
105	215	1817
106	216	1802
107	216	1788
108	217	1774
109	217	1760
110	218	1748
111	218	1735
112	219	1722
113	219	1709
114	220	1697
115	221	1684
116	221	1672
117	222	1660
118	222	1649
119	223	1637
120	223	1626
121	224	1614
122	224	1603
123	225	1593
124	226	1582
125	226	1572
126	227	1561
127	227	1550
128	228	1540
129	228	1530
130	229	1520
131	229	1511
132	230	1501
133	230	1492
134	231	1483
135	232	1474
136	232	1465
137	233	1456
138	233	1447
139	234	1438
140	234	1429
141	235	1420
142	235	1412
143	236	1403
144	236	1395
145	237	1388
146	237	1380
147	238	1372
148	239	1365
149	239	1357
150	240	1350
151	240	1342
152	241	1335
153	241	1328
154	242	1320
155	242	1314
156	243	1308
157	244	1301
158	244	1294
159	245	1288
160	245	1280
161	246	1274
162	246	1267
163	247	1261
164	247	1254
165	248	1248
166	249	1242
167	249	1237
168	250	1231
169	250	1225
170	251	1219
171	252	1213
172	252	1207
173	253	1201
174	253	1196
175	254	1190
176	254	1184
177	255	1180
178	256	1174
179	256	1169
180	257	1164
181	257	1159
182	258	1154
183	259	1148
184	259	1143
185	260	1138
186	260	1133
187	261	1128
188	261	1123
189	262	1118
190	262	1113
191	263	1108
192	263	1103
193	264	1099
194	265	1094
195	265	1089
196	266	1085
197	266	1080
198	267	1077
199	268	1073
200	268	1069
201	269	1064
202	270	1060
203	270	1055
204	271	1051
205	271	1047
206	272	1042
207	272	1038
208	273	1034
209	274	1031
210	274	1027
211	275	1023
212	275	1018
213	276	1014
214	276	1010
215	277	1006
216	277	1002
217	278	998
218	278	994
219	279	990
220	280	987
221	280	983
222	281	980
223	281	976
224	282	972
225	282	969
226	283	965
227	284	961
228	284	958
229	285	954
230	285	950
231	286	947
232	286	944
233	287	941
234	288	938
235	288	934
236	289	931
237	289	928
238	290	925
239	291	922
240	291	918
241	292	915
242	293	913
243	293	909
244	294	906
245	294	903
246	295	900
247	295	897
248	296	894
249	297	891
250	297	888
251	298	884
252	298	881
253	299	879
254	299	876
255	300	873
256	301	871
257	302	868
258	302	865
259	303	863
260	303	860
261	304	857
262	304	854
263	305	851
264	306	848
265	306	845
266	307	843
267	307	840
268	308	837
269	308	834
270	309	831
271	309	829
272	310	826
273	311	824
274	311	822
275	312	819
276	313	817
277	313	814
278	314	811
279	314	809
280	315	806
281	315	804
282	316	801
283	316	798
284	317	796
285	318	794
286	318	792
287	319	789
288	320	787
289	320	784
290	321	782
291	321	779
292	322	777
293	322	775
294	323	773
295	324	770
296	324	768
297	325	766
298	325	764
299	326	761
300	327	759
301	327	757
302	328	755
303	328	752
304	329	750
305	330	748
306	330	746
307	331	744
308	331	742
309	332	740
310	333	738
311	333	735
312	334	733
313	334	731
314	335	729
315	336	728
316	337	726
317	337	724
318	338	722
319	338	720
320	339	717
321	339	715
322	340	713
323	341	712
324	341	710
325	342	708
326	343	706
327	343	704
328	344	702
329	344	700
330	345	698
331	345	696
332	346	693
333	347	692
334	347	689
335	348	688
336	348	686
337	349	684
338	350	682
339	350	680
340	351	678
341	351	676
342	352	674
343	352	672
344	353	671
345	354	669
346	354	667
347	355	665
348	355	663
349	356	662
350	357	660
351	357	658
352	358	656
353	359	655
354	359	653
355	360	651
356	361	650
357	361	648
358	362	647
359	363	645
360	363	643
361	364	642
362	364	640
363	365	638
364	366	636
365	366	635
366	367	634
367	368	632
368	368	630
369	369	629
370	369	627
371	370	625
372	371	623
373	371	622
374	372	620
375	372	618
376	373	617
377	374	615
378	374	614
379	375	612
380	375	610
381	376	609
382	377	607
383	377	605
384	378	604
385	378	602
386	379	601
387	380	599
388	381	598
389	381	597
390	382	595
391	383	594
392	384	593
393	384	591
394	385	590
395	385	588
396	386	587
397	387	585
398	387	584
399	388	582
400	389	581
401	389	580
402	390	578
403	391	577
404	391	575
405	392	574
406	393	573
407	394	571
408	394	570
409	395	569
410	396	568
411	397	566
412	397	565
413	398	564
414	399	562
415	399	561
416	400	560
417	401	558
418	402	557
419	402	556
420	403	555
421	404	553
422	405	552
423	406	551
424	406	550
425	407	548
426	408	547
427	408	546
428	409	544
429	409	543
430	410	541
431	411	540
432	411	539
433	412	537
434	413	536
435	413	534
436	414	533
437	414	532
438	415	530
439	415	529
440	416	527
441	417	526
442	417	525
443	418	523
444	418	522
445	419	521
446	420	519
447	420	518
448	421	516
449	421	515
450	422	514
451	422	512
452	423	511
453	424	510
454	424	508
455	425	507
456	425	506
457	426	504
458	427	503
459	427	501
460	428	500
461	428	499
462	436	506
463	437	505
464	438	503
465	438	502
466	439	501
467	439	499
468	440	498
469	440	497
470	441	495
471	441	494
472	442	492
473	443	491
474	443	490
475	444	488
476	444	487
477	445	486
478	445	484
479	446	483
480	447	482
481	447	480
482	448	479
483	448	478
484	449	477
485	449	475
486	450	474
487	451	473
488	451	472
489	452	470
490	452	469
491	453	468
492	454	467
493	454	465
494	455	464
495	455	463
496	456	462
497	457	460
498	457	459
499	458	458
500	459	457
501	459	455
502	460	454
503	460	453
504	461	452
505	461	451
506	462	449
507	463	448
508	463	447
509	464	446
510	464	444
511	465	443
512	466	442
513	466	441
514	467	440
515	468	439
516	469	438
517	469	437
518	470	435
519	471	434
520	471	433
521	472	432
522	472	431
523	473	430
524	474	428
525	474	427
526	475	426
527	476	425
528	476	424
529	477	423
530	478	422
531	478	421
532	479	420
533	480	418
534	480	417
535	481	416
536	481	415
537	482	414
538	483	413
539	483	412
540	484	411
541	485	409
542	485	408
543	486	407
544	486	406
545	487	405
546	488	404
547	488	403
548	489	402
549	490	400
550	490	399
551	491	398
552	491	397
553	492	396
554	493	395
555	494	394
556	494	393
557	495	392
558	495	391
559	496	389
560	496	388
561	497	387
562	498	386
563	498	385
564	499	384
565	500	383
566	500	382
567	501	381
568	502	380
569	502	379
570	503	378
571	503	377
572	504	375
573	505	374
574	505	373
575	506	372
576	506	371
577	507	370
578	508	369
579	508	368
580	509	367
581	510	366
582	510	365
583	511	364
584	511	363
585	512	362
586	513	360
587	513	359
588	514	358
589	514	357
590	515	356
591	515	355
592	516	354
593	517	353
594	517	352
595	518	351
596	519	350
597	519	349
598	520	348
599	521	347
600	521	346
601	522	345
602	522	344
603	523	343
604	524	342
605	524	341
606	525	340
607	526	339
608	526	338
609	527	337
610	528	336
611	528	335
612	529	334
613	529	333
614	530	332
615	531	331
616	531	330
617	532	329
618	532	328
619	533	327
620	534	325
621	534	324
622	535	323
623	535	322
624	536	321
625	537	321
626	537	320
627	538	318
628	539	317
629	539	316
630	540	315
631	540	314
632	541	313
633	542	312
634	542	311
635	543	310
636	544	310
637	544	309
638	545	308
639	545	307
640	546	306
641	546	305
642	547	304
643	548	303
644	548	302
645	549	301
646	550	300
647	550	299
648	551	298
649	551	297
650	552	296
651	553	295
652	553	294
653	554	293
654	554	292
655	555	291
656	556	290
657	556	289
658	557	288
659	558	287
660	558	286
661	559	285
662	559	284
663	560	283
664	561	282
665	561	281
666	562	280
667	562	279
668	563	278
669	564	277
670	564	276
671	565	275
672	565	274
673	566	274
674	567	273
675	567	272
676	568	271
677	569	270
678	569	269
679	570	268
680	570	267
681	571	266
682	572	265
683	572	264
684	573	263
685	574	262
686	574	261
687	575	260
688	575	259
689	576	258
690	577	258
691	577	257
692	578	256
693	578	255
694	579	254
695	580	253
696	580	252
697	581	251
698	581	250
699	582	249
700	583	248
701	583	247
702	584	246
703	584	245
704	585	245
705	586	244
706	586	243
707	587	242
708	588	241
709	588	240
710	589	239
711	589	238
712	590	237
713	591	236
714	591	235
715	592	234
716	592	234
717	593	233
718	594	232
719	594	231
720	595	230
721	596	229
722	596	228
723	597	227
724	597	226
725	598	225
726	599	224
727	599	224
728	600	223
729	600	222
730	601	221
731	601	220
732	602	219
733	603	218
734	603	217
735	604	216
736	604	215
737	605	214
738	606	214
739	606	213
740	607	212
741	607	211
742	608	210
743	608	209
744	609	208
745	610	207
746	610	206
747	611	206
748	612	205
749	612	204
750	613	203
751	614	202
752	614	201
753	615	200
754	615	199
755	616	199
756	617	198
757	617	197
758	618	196
759	619	195
760	620	194
761	620	193
762	621	192
763	621	192
764	622	191
765	623	190
766	623	189
767	624	188
768	625	187
769	625	186
770	626	185
771	626	185
772	627	184
773	628	183
774	628	182
775	629	181
776	630	180
777	630	179
778	631	179
779	631	178
780	632	177
781	633	176
782	633	175
783	634	174
784	635	173
785	635	173
786	636	172
787	637	171
788	637	170
789	638	169
790	638	168
791	639	167
792	640	167
793	640	166
794	641	165
795	641	164
796	642	163
797	643	162
798	643	161
799	644	161
800	645	160
801	645	159
802	646	158
803	646	157
804	647	156
805	648	156
806	649	155
807	649	154
808	650	153
809	650	152
810	651	151
811	652	151
812	653	150
813	653	149
814	654	148
815	655	147
816	655	146
817	656	146
818	656	145
